name,category,muscle_group,equipment,howto
Jumping Jacks,warmup,Ganzkörper,Bodyweight,"Aufrechter Stand, Füße zusammen. Sprung: Beine schulterbreit öffnen, Arme über Kopf klatschen. Zurück in Ausgangsposition. 30–45 s rhythmisch. Atmung: fließend durch die Nase."
Arm Circles,warmup,"Schultern, Trapez",Bodyweight,"Aufrechter Stand, Arme seitlich auf Schulterhöhe. Kleine Kreise vorwärts (10×), dann rückwärts (10×). Schultern dabei aktiv nach unten ziehen – nicht hochziehen."
High Knees,warmup,"Hüftbeuger, Quadrizeps, Waden, Core",Bodyweight,"Auf der Stelle laufen, Knie abwechselnd auf Hüfthöhe ziehen. Oberkörper aufrecht, Arme aktiv mitschwingen. 30–45 s zügig. Gleichmäßige Atmung durch die Nase."
Leg Swings,warmup,"Hüfte, Hüftbeuger, Hamstrings",Bodyweight,"An Wand abstützen, Standbein leicht gebeugt. Pendelbein locker vor und zurück schwingen – Schwung aus der Hüfte, nicht reißen. 10× je Seite vorwärts/rückwärts, dann 10× seitlich. Kein Hohlkreuz."
Schulterkreisen,warmup,"Schultern, Trapez, Rotatorenmanschette",Bodyweight,"Aufrechter Stand, Arme hängen locker. Schultern langsam nach vorne–oben–hinten–unten kreisen (10×), dann umgekehrt (10×). Bewusst die Schulterblätter einbeziehen."
Arm Swings,warmup,"Schultern, Brust, Rücken",Bodyweight,"Aufrechter Stand, Arme seitlich gestreckt. Arme nach vorne überkreuzen (Hugging Motion), dann weit nach hinten öffnen. 15× locker und dynamisch. Kein Anhalten an den Endpositionen."
Cat-Cow Stretch,warmup,"Rücken, Core, Hüfte",Bodyweight,"Vierfüßlerstand, Handgelenke unter Schultern, Knie unter Hüften. Einatmen → Brust absenken, Becken kippen (Cow). Ausatmen → Rücken rund machen, Nabel zur Wirbelsäule (Cat). 8–10 Wdh, langsam und kontrolliert."
Seilspringen,warmup,"Waden, Ganzkörper, Cardio",Springseil,"Leicht auf Fußballen federn, Knie minimal gebeugt. Seil knapp über dem Boden. Ellbogen nah am Körper, Handgelenke drehen das Seil. 30–60 s lockeres Tempo, Puls auf 120–130 bpm."
Laufband / Ruderergometer,warmup,"Cardio, Beine, Rücken",Maschine,"Lockeres Tempo, Puls auf 120–130 bpm. Laufband: Steigung 2–3 %. Rudern: Beine → Rücken → Arme (Zugphase), Arme → Rücken → Beine (Rückführung). 5–10 min."
Schulterkreisen mit Band,warmup,"Schultern, Rotatorenmanschette, Brust",Band,"Widerstandsband mit weitem Griff. Arme gestreckt: Band von vor dem Körper über den Kopf und hinter den Rücken führen. 10× vorwärts, 10× rückwärts. Bei Schmerz Griff verbreitern."
Cat-Cow + Thoracic Rotation,warmup,"Rücken, Schultern, Core",Bodyweight,"Cat-Cow (8–10 Wdh): Vierfüßlerstand, Einatmen → Brust senken, Ausatmen → Rücken rund. Thoracic Rotation: Hand hinter Kopf, Ellbogen zum Boden, dann weit zur Decke öffnen. 6× je Seite. Unterer Rücken bleibt neutral."
Inchworms + Push-Up,warmup,"Ganzkörper, Brust, Hamstrings, Core",Bodyweight,"Aus dem Stand Hände zum Boden, in Liegestützposition laufen. 1 Push-Up. Zurück zu den Füßen laufen, aufrichten. 6–8 Wdh. Core während des gesamten Weges angespannt."
