Exercise ID,EXERCISE_NAME (Standardized English),PRIMARY_TARGET_MUSCLES (Exact Anatomy),SECONDARY_TARGET_MUSCLES (Exact Anatomy),EQUIPMENT,STARTING_POSITION (View Angle & Key Body Cue)
RYNG001,"JUMPING JACKS","Deltoids (all heads), gastrocnemius, soleus","Hip adductors, hip abductors, quadriceps, core stabilizers",Bodyweight,"Starting position, front view, feet together, arms at sides"
RYNG002,"ARM CIRCLES","Deltoids (anterior, medial, posterior), rotator cuff (supraspinatus, infraspinatus, teres minor, subscapularis)","Upper trapezius, rhomboids",Bodyweight,"Starting position, front view, arms extended laterally at shoulder height"
RYNG003,"HIGH KNEES","Hip flexors (iliopsoas, rectus femoris), quadriceps","Gastrocnemius, soleus, rectus abdominis, gluteus maximus",Bodyweight,"Starting position, side view, standing upright, one knee raised to hip height"
RYNG004,"LEG SWINGS","Hip flexors (iliopsoas), gluteus maximus, hip adductors","Hamstrings, core stabilizers (transversus abdominis)",Bodyweight,"Starting position, side view, standing on one leg, other leg extended forward"
RYNG005,"SHOULDER CIRCLES","Deltoids (all heads), rotator cuff group","Upper trapezius, levator scapulae, rhomboids",Bodyweight,"Starting position, front view, arms at sides, shoulders in neutral"
RYNG006,"ARM SWINGS (Dynamic)","Deltoids (anterior, posterior), pectoralis major (clavicular head)","Rhomboids, rotator cuff, biceps brachii",Bodyweight,"Starting position, side view, arms swinging horizontally at chest height"
RYNG007,"CAT-COW STRETCH","Erector spinae, rectus abdominis","Multifidus, transversus abdominis, serratus anterior",Bodyweight,"Starting position, side view, hands-and-knees quadruped, spine neutral"
RYNG008,"JUMP ROPE","Gastrocnemius, soleus, forearm flexors (wrist rotation)","Deltoids (medial), quadriceps, rectus abdominis",Jump rope,"Starting position, side view, standing upright, rope behind heels, elbows at sides"
RYNG009,"TREADMILL / ROWING MACHINE (Warm-Up)","Quadriceps, hamstrings, gluteus maximus (full-body cardio)","Latissimus dorsi, biceps brachii, erector spinae (rowing), gastrocnemius (treadmill)",Machine,"Starting position, side view, seated on rower with arms extended gripping handle"
RYNG010,"BANDED SHOULDER CIRCLES","Deltoids (all heads), rotator cuff (infraspinatus, teres minor)","Upper trapezius, rhomboids, pectoralis minor",Resistance band,"Starting position, front view, arms extended forward gripping band wide"
RYNG011,"CAT-COW + THORACIC ROTATION","Erector spinae, internal/external obliques, thoracic spine mobilizers","Rectus abdominis, multifidus, serratus anterior",Bodyweight,"Starting position, side view, quadruped position, one hand behind head"
RYNG012,"INCHWORMS + PUSH-UP","Pectoralis major, anterior deltoid, hamstrings (eccentric stretch)","Triceps brachii, rectus abdominis, erector spinae",Bodyweight,"Starting position, side view, standing upright with hands reaching toward floor"
RYNG013,"GOBLET SQUAT HOLD","Hip adductors, hip flexors (iliopsoas), gluteus medius","Quadriceps, erector spinae, core stabilizers",Dumbbell,"Starting position, front view, deep squat with dumbbell held at chest, elbows inside knees"
RYNG014,"WRIST STRETCHES","Wrist flexors (flexor carpi radialis/ulnaris), wrist extensors (extensor carpi radialis/ulnaris)","Forearm pronators/supinators",Bodyweight,"Starting position, front view, one arm extended, other hand pulling fingers back"
RYNG015,"BAND DISLOCATES (Shoulder Pass-Throughs)","Deltoids (posterior), rotator cuff (infraspinatus, teres minor), lower trapezius","Pectoralis major (stretch), rhomboids, serratus anterior",Resistance band,"Starting position, front view, arms extended overhead gripping band wide"
RYNG016,"DEAD HANG (Pull-Up Bar)","Forearm flexors (grip), latissimus dorsi (passive stretch)","Lower trapezius, teres major, rhomboids (active hang)",Pull-up bar,"Starting position, front view, hanging from bar with arms fully extended, feet off ground"
RYNG017,"THORACIC FOAM ROLL","Thoracic erector spinae, rhomboids (myofascial release)","Upper trapezius, latissimus dorsi (adjacent tissue)",Foam roller,"Starting position, side view, supine on foam roller at mid-back, knees bent, hands behind head"
RYNG018,"BANDED CRAB WALKS","Gluteus medius, gluteus minimus, tensor fasciae latae","Gluteus maximus, hip external rotators (piriformis)",Resistance band (mini-band),"Starting position, front view, quarter-squat with band above knees, feet hip-width"
RYNG019,"GOBLET SQUAT + PAUSE","Quadriceps (rectus femoris, vastus lateralis/medialis), gluteus maximus","Hip adductors, erector spinae, core stabilizers",Dumbbell,"Starting position, front view, standing with dumbbell at chest, feet shoulder-width"
RYNG020,"ANKLE MOBILIZATION (Knee-Over-Toe)","Gastrocnemius, soleus (eccentric stretch), tibialis anterior","Ankle joint capsule, Achilles tendon",Bodyweight,"Starting position, side view, lunge position facing wall, front knee driving forward over toes"
RYNG021,"DEAD BUG (Warm-Up)","Rectus abdominis, transversus abdominis","Internal/external obliques, hip flexors (iliopsoas)",Bodyweight,"Starting position, side view, supine, arms extended toward ceiling, knees at 90°"
RYNG022,"STANDARD PUSH-UP","Pectoralis major (sternal + clavicular), anterior deltoid, triceps brachii","Serratus anterior, rectus abdominis (stabilizer), core",Bodyweight,"Starting position, side view, high plank, arms extended, body straight from head to heels"
RYNG023,"CLOSE-GRIP PUSH-UP","Triceps brachii (long, lateral, medial heads), pectoralis major (sternal)","Anterior deltoid, serratus anterior, core",Bodyweight,"Starting position, side view, high plank, hands close together under chest"
RYNG024,"PIKE PUSH-UP","Deltoids (anterior, medial), triceps brachii","Upper pectoralis major (clavicular), serratus anterior, upper trapezius",Bodyweight,"Starting position, side view, inverted V position, hips high, arms extended, head between arms"
RYNG025,"CHAIR DIPS","Triceps brachii (all heads), anterior deltoid","Pectoralis major (lower), rhomboids, core stabilizers","Bodyweight, chair/bench","Starting position, side view, hands on chair edge behind body, legs extended, arms straight"
RYNG026,"DECLINE PUSH-UP","Pectoralis major (clavicular head), anterior deltoid, triceps brachii","Serratus anterior, rectus abdominis, core",Bodyweight,"Starting position, side view, high plank with feet elevated on bench, body angled downward"
RYNG027,"DIAMOND PUSH-UP","Triceps brachii (all heads), pectoralis major (sternal, inner)","Anterior deltoid, serratus anterior, core",Bodyweight,"Starting position, top-down view of hands forming diamond shape, high plank position"
RYNG028,"DUMBBELL BENCH PRESS (Flat)","Pectoralis major (sternal + clavicular), anterior deltoid","Triceps brachii, serratus anterior, biceps (stabilizer)","Dumbbells, flat bench","Starting position, side view, supine on bench, dumbbells at chest height, elbows at 45°"
RYNG029,"DUMBBELL SHOULDER PRESS (Standing/Seated)","Deltoids (anterior, medial), triceps brachii","Upper trapezius, serratus anterior, core stabilizers",Dumbbells,"Starting position, front view, dumbbells at shoulder height, palms forward, elbows at 90°"
RYNG030,"BODYWEIGHT ROWS (Inverted Row)","Latissimus dorsi, rhomboids, middle trapezius","Biceps brachii, posterior deltoid, erector spinae","Bodyweight (table edge or bar)","Starting position, side view, supine under bar/edge, arms extended, body straight, heels on ground"
RYNG031,"REVERSE SNOW ANGELS","Rhomboids, middle/lower trapezius, posterior deltoid","Erector spinae, infraspinatus, teres minor",Bodyweight,"Starting position, side view, prone (face down), arms extended overhead on floor"
RYNG032,"SUPERMAN HOLD","Erector spinae (lumbar + thoracic), gluteus maximus","Hamstrings, posterior deltoid, multifidus",Bodyweight,"Starting position, side view, prone, arms and legs extended on floor"
RYNG033,"DOOR FRAME ROW","Latissimus dorsi, rhomboids, middle trapezius","Biceps brachii, posterior deltoid, forearm flexors (grip)",Bodyweight (door frame),"Starting position, side view, leaning back gripping door frame, arms extended, feet near frame base"
RYNG034,"STANDING DUMBBELL BICEP CURL","Biceps brachii (long + short head), brachialis","Brachioradialis, anterior deltoid (stabilizer)",Dumbbells,"Starting position, front view, arms at sides, palms forward (supinated), dumbbells in hands"
RYNG035,"HAMMER CURL","Brachioradialis, biceps brachii (long head), brachialis","Forearm extensors, anterior deltoid (stabilizer)",Dumbbells,"Starting position, front view, arms at sides, palms facing inward (neutral grip)"
RYNG036,"SINGLE-ARM DUMBBELL ROW","Latissimus dorsi, rhomboids, middle trapezius","Biceps brachii, posterior deltoid, teres major, erector spinae","Dumbbell, flat bench","Starting position, side view, one knee and hand on bench, other arm hanging with dumbbell, torso parallel to floor"
RYNG037,"BAND PULL-APARTS","Posterior deltoid, rhomboids, middle trapezius","Infraspinatus, teres minor, lower trapezius",Resistance band,"Starting position, front view, arms extended forward at shoulder height, gripping band shoulder-width"
